,uri,nome,siglaPartido,uriPartido,siglaUf,idLegislatura,urlFoto,email
219,https://dadosabertos.camara.leg.br/api/v2/deputados/204465,Haroldo Cathedral,13,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,RR,56,https://www.camara.leg.br/internet/deputado/bandep/204465.jpg,
220,https://dadosabertos.camara.leg.br/api/v2/deputados/204548,Heitor Freire,22,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,CE,56,https://www.camara.leg.br/internet/deputado/bandep/204548.jpg,
221,https://dadosabertos.camara.leg.br/api/v2/deputados/178964,Heitor Schuch,11,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,RS,56,https://www.camara.leg.br/internet/deputado/bandep/178964.jpg,
222,https://dadosabertos.camara.leg.br/api/v2/deputados/178873,Helder Salomão,16,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,ES,56,https://www.camara.leg.br/internet/deputado/bandep/178873.jpg,
223,https://dadosabertos.camara.leg.br/api/v2/deputados/204373,Hélio Costa,13,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,SC,56,https://www.camara.leg.br/internet/deputado/bandep/204373.jpg,
224,https://dadosabertos.camara.leg.br/api/v2/deputados/178909,Hélio Leite,22,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,PA,56,https://www.camara.leg.br/internet/deputado/bandep/178909.jpg,
225,https://dadosabertos.camara.leg.br/api/v2/deputados/204444,Helio Lopes,7,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,RJ,56,https://www.camara.leg.br/internet/deputado/bandep/204444.jpg,
226,https://dadosabertos.camara.leg.br/api/v2/deputados/73482,Henrique Fontana,16,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,RS,56,https://www.camara.leg.br/internet/deputado/bandep/73482.jpg,
227,https://dadosabertos.camara.leg.br/api/v2/deputados/204539,Hercílio Coelho Diniz,2,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,MG,56,https://www.camara.leg.br/internet/deputado/bandep/204539.jpg,
228,https://dadosabertos.camara.leg.br/api/v2/deputados/178981,Herculano Passos,20,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,SP,56,https://www.camara.leg.br/internet/deputado/bandep/178981.jpg,
229,https://dadosabertos.camara.leg.br/api/v2/deputados/73772,Hermes Parcianello,2,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,PR,56,https://www.camara.leg.br/internet/deputado/bandep/73772.jpg,
230,https://dadosabertos.camara.leg.br/api/v2/deputados/178884,Hildo Rocha,2,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,MA,56,https://www.camara.leg.br/internet/deputado/bandep/178884.jpg,
